date,y5y
2011-10-05,2.6785
2011-10-06,2.755
2011-10-07,2.8455
2011-10-11,2.766
2011-10-12,2.7555
2011-10-13,2.694
2011-10-14,2.6915
2011-10-17,2.666
2011-10-18,2.6085
2011-10-19,2.6665
2011-10-20,2.679
2011-10-21,2.68
2011-10-24,2.71
2011-10-25,2.6985
2011-10-26,2.775
2011-10-27,2.868
2011-10-28,2.811
2011-10-31,2.73
2011-11-01,2.7395
2011-11-02,2.725
2011-11-03,2.731
2011-11-04,2.744
2011-11-07,2.763
2011-11-08,2.7555
2011-11-09,2.621
2011-11-10,2.68
2011-11-14,2.625
2011-11-15,2.679
2011-11-16,2.6355
2011-11-17,2.589
2011-11-18,2.6115
2011-11-21,2.562
2011-11-22,2.518
2011-11-23,2.526
2011-11-25,2.571
2011-11-28,2.586
2011-11-29,2.6065
2011-11-30,2.623
2011-12-01,2.635
2011-12-02,2.736
2011-12-05,2.6295
2011-12-06,2.661
2011-12-07,2.728
2011-12-08,2.581
2011-12-09,2.7976
2011-12-12,2.7145
2011-12-13,2.616
2011-12-14,2.6285
2011-12-15,2.5875
2011-12-16,2.555
2011-12-19,2.5925
2011-12-20,2.713
2011-12-21,2.753
2011-12-22,2.7625
2011-12-23,2.833
2011-12-27,2.735
2011-12-28,2.686
2011-12-29,2.6425
2011-12-30,2.626
2012-01-03,2.6635
2012-01-04,2.702
2012-01-05,2.743
2012-01-06,2.738
2012-01-09,2.753
2012-01-10,2.7275
2012-01-11,2.668
2012-01-12,2.698
2012-01-13,2.679
2012-01-17,2.679
2012-01-18,2.7245
2012-01-19,2.7765
2012-01-20,2.812
2012-01-23,2.844
2012-01-24,2.847
2012-01-25,2.8895
2012-01-26,2.8415
2012-01-27,2.843
2012-01-30,2.856
2012-01-31,2.866
2012-02-01,2.8885
2012-02-02,2.9225
2012-02-03,2.9365
2012-02-06,2.948
2012-02-07,2.9505
2012-02-08,2.943
2012-02-09,2.912
2012-02-10,2.891
2012-02-13,2.879
2012-02-14,2.8525
2012-02-15,2.8645
2012-02-16,2.928
2012-02-17,2.965
2012-02-21,2.966
2012-02-22,2.947
2012-02-23,2.889
2012-02-24,2.868
2012-02-27,2.927
2012-02-28,2.7285
2012-02-29,2.8895
2012-03-01,2.909
2012-03-02,2.84
2012-03-05,2.803
2012-03-06,2.7615
2012-03-07,2.803
2012-03-08,2.8385
2012-03-09,2.868
2012-03-12,2.873
2012-03-13,2.888
2012-03-14,2.916
2012-03-15,2.997
2012-03-16,2.9595
2012-03-19,3.0325
2012-03-20,3.0585
2012-03-21,3.0045
2012-03-22,3.0045
2012-03-23,2.9925
2012-03-26,2.9715
2012-03-27,2.9505
2012-03-28,2.9495
2012-03-29,2.9375
2012-03-30,2.94
2012-04-02,2.9865
2012-04-03,2.968
2012-04-04,2.9145
2012-04-05,2.892
2012-04-09,2.8275
2012-04-10,2.8605
2012-04-11,2.9315
2012-04-12,2.897
2012-04-13,2.799
2012-04-16,2.88
2012-04-17,2.7855
2012-04-18,2.869
2012-04-19,2.91
2012-04-20,2.87
2012-04-23,2.828
2012-04-24,2.885
2012-04-25,2.895
2012-04-26,2.992
2012-04-27,2.98
2012-04-30,2.751
2012-05-01,2.88
2012-05-02,2.87
2012-05-03,2.886
2012-05-04,2.89
2012-05-07,2.8275
2012-05-08,2.738
2012-05-09,2.86
2012-05-10,2.91
2012-05-11,2.665
2012-05-14,2.8275
2012-05-15,2.915
2012-05-16,2.7415
2012-05-17,2.77
2012-05-18,2.82
2012-05-21,2.8775
2012-05-22,2.829
2012-05-23,2.727
2012-05-24,2.82
2012-05-25,2.783
2012-05-29,2.813
2012-05-30,2.715
2012-05-31,2.78
2012-06-01,2.7775
2012-06-04,2.822
2012-06-05,2.893
2012-06-06,2.8
2012-06-07,2.8055
2012-06-08,2.817
2012-06-11,2.7525
2012-06-12,2.7785
2012-06-13,2.805
2012-06-14,2.805
2012-06-15,2.65
2012-06-18,2.768
2012-06-19,2.82
2012-06-20,2.85
2012-06-21,2.7375
2012-06-22,2.77
2012-06-25,2.88
2012-06-26,2.711
2012-06-27,2.8675
2012-06-28,2.69
2012-06-29,2.82
2012-07-02,2.7
2012-07-03,2.83
2012-07-05,2.7905
2012-07-06,2.673
2012-07-09,2.618
2012-07-10,2.7
2012-07-11,2.69
2012-07-12,2.707
2012-07-13,2.794
2012-07-16,2.661
2012-07-17,2.7775
2012-07-18,2.726
2012-07-19,2.67
2012-07-20,2.783
2012-07-23,2.7287
2012-07-24,2.7169
2012-07-25,2.6961
2012-07-26,2.7149
2012-07-27,2.7576
2012-07-30,2.7571
2012-07-31,2.7765
2012-08-01,2.7937
2012-08-02,2.7573
2012-08-03,2.8276
2012-08-06,2.8498
2012-08-07,2.869
2012-08-08,2.8938
2012-08-09,2.8445
2012-08-10,2.8405
2012-08-13,2.8148
2012-08-14,2.8555
2012-08-15,2.8633
2012-08-16,2.8705
2012-08-17,2.8783
2012-08-20,2.8832
2012-08-21,2.8898
2012-08-22,2.905
2012-08-23,2.9086
2012-08-24,2.8896
2012-08-27,2.8521
2012-08-28,2.9083
2012-08-29,2.9013
2012-08-30,2.8615
2012-08-31,2.8618
2012-09-04,2.8163
2012-09-05,2.8564
2012-09-06,2.899
2012-09-07,2.8723
2012-09-10,2.9047
2012-09-11,2.9187
2012-09-12,2.9067
2012-09-13,2.9985
2012-09-14,3.0393
2012-09-17,3.12
2012-09-18,3.0641
2012-09-19,3.0333
2012-09-20,2.9966
2012-09-21,2.9382
2012-09-24,2.9303
